GP_Index	Coord_X	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
1	-1.189434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-2.038897e-21	1.742950e+01	1.011380e+01	3.553707e-15	0.000000e+00	0.000000e+00	-1.137030e+01
2	-1.160566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.998895e-21	1.742950e+01	1.011380e+01	3.553687e-15	0.000000e+00	0.000000e+00	-1.137030e+01
3	-1.139434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.969611e-21	1.742950e+01	1.011380e+01	3.551754e-15	0.000000e+00	0.000000e+00	1.137030e+01
4	-1.110566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.929608e-21	1.742950e+01	1.011380e+01	3.329729e-15	0.000000e+00	0.000000e+00	1.137030e+01
5	-1.089434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.900324e-21	1.742950e+01	1.011380e+01	4.217922e-15	0.000000e+00	0.000000e+00	1.137030e+01
6	-1.060566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.860322e-21	1.742950e+01	1.011380e+01	4.217941e-15	0.000000e+00	0.000000e+00	1.137030e+01
7	-1.039434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.831038e-21	1.742950e+01	1.011380e+01	3.997695e-15	0.000000e+00	0.000000e+00	-1.137030e+01
8	-1.010566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	-1.791036e-21	1.742950e+01	1.011380e+01	3.997675e-15	0.000000e+00	0.000000e+00	-1.137030e+01
9	-5.773503e+00	6.829120e-04	-2.315506e-04	-1.934406e-04	0.000000e+00	0.000000e+00	-1.190717e-21	4.651410e+01	-2.022761e+00	3.552714e-15	0.000000e+00	0.000000e+00	-3.159980e-17
10	5.773503e+00	6.829120e-04	-2.315506e-04	-1.934406e-04	0.000000e+00	0.000000e+00	4.093814e-22	4.651410e+01	-2.022761e+00	-1.065814e-14	0.000000e+00	0.000000e+00	1.086435e-17
11	1.010566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.009700e-21	1.742950e+01	1.011380e+01	4.662445e-15	0.000000e+00	0.000000e+00	-1.137030e+01
12	1.039434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.049702e-21	1.742950e+01	1.011380e+01	4.662425e-15	0.000000e+00	0.000000e+00	-1.137030e+01
13	1.060566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.078986e-21	1.742950e+01	1.011380e+01	9.992533e-15	0.000000e+00	0.000000e+00	1.137030e+01
14	1.089434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.118989e-21	1.742950e+01	1.011380e+01	9.992552e-15	0.000000e+00	0.000000e+00	1.137030e+01
15	1.110566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.148273e-21	1.742950e+01	1.011380e+01	4.446485e-16	0.000000e+00	0.000000e+00	1.137030e+01
16	1.139434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.188275e-21	1.742950e+01	1.011380e+01	2.226234e-16	0.000000e+00	0.000000e+00	1.137030e+01
17	1.160566e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.217559e-21	1.742950e+01	1.011380e+01	5.772567e-15	0.000000e+00	0.000000e+00	-1.137030e+01
18	1.189434e+01	6.829120e-04	-2.315506e-04	-1.645497e-04	0.000000e+00	0.000000e+00	1.257561e-21	1.742950e+01	1.011380e+01	5.772547e-15	0.000000e+00	0.000000e+00	-1.137030e+01
