GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
1	1.754067e+01	2.329375e+01	3.537756e-03	-2.722127e-03	-3.386280e-04	8.389379e-05	3.738933e-08	-1.005726e-06	4.981684e+01	-2.622229e-01	-3.676725e-01	2.936096e-01	-4.181603e-02	-2.055458e+01
2	1.741568e+01	2.312500e+01	3.537756e-03	-2.722127e-03	-3.386280e-04	8.389379e-05	3.738933e-08	-1.005727e-06	4.981684e+01	-2.622235e-01	-3.676726e-01	2.936096e-01	-4.181603e-02	-2.055458e+01
3	1.741568e+01	2.329375e+01	3.537756e-03	-2.722127e-03	-3.386280e-04	8.389379e-05	3.738933e-08	-1.005726e-06	4.981684e+01	-2.622229e-01	-3.676725e-01	2.936096e-01	-4.181603e-02	-2.055458e+01
4	1.745734e+01	2.306875e+01	3.537756e-03	-2.495854e-03	-3.386594e-04	-8.366461e-05	-7.231319e-09	-9.454864e-07	5.608221e+01	7.813330e+00	3.676427e-01	-2.928225e-01	4.180699e-02	-2.629313e+01
5	1.758234e+01	2.323750e+01	3.537756e-03	-2.495854e-03	-3.386594e-04	-8.366461e-05	-7.231319e-09	-9.454856e-07	5.608221e+01	7.813331e+00	3.676427e-01	-2.928225e-01	4.180699e-02	-2.629313e+01
6	1.758234e+01	2.306875e+01	3.537756e-03	-2.495854e-03	-3.386594e-04	-8.366461e-05	-7.231319e-09	-9.454864e-07	5.608221e+01	7.813330e+00	3.676427e-01	-2.928225e-01	4.180699e-02	-2.629313e+01
7	1.729069e+01	2.329375e+01	3.537756e-03	-2.722171e-03	-3.386066e-04	8.385628e-05	1.006717e-07	-1.050300e-06	4.981682e+01	-2.625991e-01	-3.676035e-01	2.934467e-01	-4.157579e-02	-2.055472e+01
8	1.716569e+01	2.312500e+01	3.537756e-03	-2.722171e-03	-3.386066e-04	8.385628e-05	1.006717e-07	-1.050301e-06	4.981682e+01	-2.625998e-01	-3.676035e-01	2.934467e-01	-4.157579e-02	-2.055472e+01
9	1.716569e+01	2.329375e+01	3.537756e-03	-2.722171e-03	-3.386066e-04	8.385628e-05	1.006717e-07	-1.050300e-06	4.981682e+01	-2.625991e-01	-3.676035e-01	2.934467e-01	-4.157579e-02	-2.055472e+01
10	1.720736e+01	2.306875e+01	3.537756e-03	-2.495865e-03	-3.386280e-04	-8.373860e-05	3.738933e-08	-9.648648e-07	5.608248e+01	7.813514e+00	3.678953e-01	-2.931038e-01	4.200016e-02	-2.629339e+01
11	1.733235e+01	2.323750e+01	3.537756e-03	-2.495865e-03	-3.386280e-04	-8.373860e-05	3.738933e-08	-9.648640e-07	5.608249e+01	7.813515e+00	3.678953e-01	-2.931038e-01	4.200016e-02	-2.629339e+01
12	1.733235e+01	2.306875e+01	3.537756e-03	-2.495865e-03	-3.386280e-04	-8.373860e-05	3.738933e-08	-9.648648e-07	5.608248e+01	7.813514e+00	3.678953e-01	-2.931038e-01	4.200016e-02	-2.629339e+01
13	1.704070e+01	2.329375e+01	3.537756e-03	-2.722204e-03	-3.385965e-04	8.376770e-05	1.783142e-07	-1.098497e-06	4.981717e+01	-2.625092e-01	-3.675966e-01	2.930978e-01	-4.125975e-02	-2.055524e+01
