# TPMS solid 3-D SG (tets): aperiodic (w=0 Dirichlet on boundary nodes) vs periodic (== SwiftComp .K)
# per-unit-cell C in MPa; alu E=69 GPa nu=0.3

## Sample_1   aperiodic: 17610 boundary nodes, 146.3 s   periodic: 150.2 s
#  term      aperiodic      periodic     %diff
   C11       12977.036     10190.158   +27.349
   C22       12977.030     10190.131   +27.349
   C33       12976.815     10189.958   +27.349
   C12        5423.565      5646.069    -3.941
   C13        5423.674      5646.092    -3.939
   C23        5423.151      5646.012    -3.947
   C44        5545.997      4519.640   +22.709
   C55        5546.044      4519.637   +22.710
   C66        5546.133      4519.755   +22.709

## Sample_2   aperiodic: 4456 boundary nodes, 52.4 s   periodic: 51.5 s
#  term      aperiodic      periodic     %diff
   C11        2810.329      2303.160   +22.021
   C22        2810.363      2303.067   +22.027
   C33        2810.251      2303.019   +22.025
   C12        1548.627      1612.130    -3.939
   C13        1548.954      1612.141    -3.919
   C23        1549.049      1612.120    -3.912
   C44        1300.352      1106.734   +17.494
   C55        1300.151      1106.668   +17.483
   C66        1300.048      1106.664   +17.474
