GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
1	1.754067e+01	2.329375e+01	2.339375e-01	-1.135189e-01	-3.121587e-02	2.689531e-02	6.855108e-02	9.623630e-02	2.663819e+03	-1.158320e+02	6.623317e+01	5.985804e+01	2.264811e+02	-3.490324e+02
2	1.741568e+01	2.312500e+01	2.322500e-01	-1.135189e-01	-3.121587e-02	2.689531e-02	6.855108e-02	9.623630e-02	2.603581e+03	-1.625700e+02	6.074703e+01	5.985804e+01	2.264811e+02	-3.062229e+02
3	1.741568e+01	2.329375e+01	2.339375e-01	-1.135189e-01	-3.121587e-02	2.689531e-02	6.855108e-02	9.623630e-02	2.663819e+03	-1.158320e+02	6.623317e+01	5.985804e+01	2.264811e+02	-3.490324e+02
4	1.745734e+01	2.306875e+01	2.316875e-01	-1.747458e-01	-2.997972e-02	7.057731e-02	1.392119e-01	8.391351e-04	3.311840e+03	6.037369e+01	-8.264131e+01	1.774146e+02	4.519532e+02	-1.406470e+03
5	1.758234e+01	2.323750e+01	2.333750e-01	-1.747458e-01	-2.997972e-02	7.057731e-02	1.392119e-01	8.391351e-04	3.372078e+03	1.071117e+02	-7.715517e+01	1.774146e+02	4.519532e+02	-1.449280e+03
6	1.758234e+01	2.306875e+01	2.316875e-01	-1.747458e-01	-2.997972e-02	7.057731e-02	1.392119e-01	8.391351e-04	3.311840e+03	6.037369e+01	-8.264131e+01	1.774146e+02	4.519532e+02	-1.406470e+03
7	1.729069e+01	2.329375e+01	2.339375e-01	-1.505258e-01	-2.507971e-02	2.703851e-02	3.107383e-02	5.110944e-02	2.803611e+03	-2.720950e+02	2.262452e+01	7.909788e+01	9.523915e+01	-6.748855e+02
8	1.716569e+01	2.312500e+01	2.322500e-01	-1.505258e-01	-2.507971e-02	2.703851e-02	3.107383e-02	5.110944e-02	2.743373e+03	-3.188331e+02	1.713838e+01	7.909788e+01	9.523915e+01	-6.320760e+02
9	1.716569e+01	2.329375e+01	2.339375e-01	-1.505258e-01	-2.507971e-02	2.703851e-02	3.107383e-02	5.110944e-02	2.803611e+03	-2.720950e+02	2.262452e+01	7.909788e+01	9.523915e+01	-6.748855e+02
10	1.720736e+01	2.306875e+01	2.316875e-01	-1.743470e-01	-3.121587e-02	5.296709e-02	6.855108e-02	5.121104e-04	3.327164e+03	7.888852e+01	-9.220900e+01	1.511093e+02	2.134452e+02	-1.425130e+03
11	1.733235e+01	2.323750e+01	2.333750e-01	-1.743470e-01	-3.121587e-02	5.296709e-02	6.855108e-02	5.121104e-04	3.387402e+03	1.256265e+02	-8.672286e+01	1.511093e+02	2.134452e+02	-1.467939e+03
12	1.733235e+01	2.306875e+01	2.316875e-01	-1.743470e-01	-3.121587e-02	5.296709e-02	6.855108e-02	5.121104e-04	3.327164e+03	7.888852e+01	-9.220900e+01	1.511093e+02	2.134452e+02	-1.425130e+03
13	1.704070e+01	2.329375e+01	2.339375e-01	-1.727241e-01	-2.043624e-02	2.853524e-02	1.154555e-02	2.613805e-02	2.837377e+03	-4.159158e+02	4.029629e+00	9.410056e+01	2.614180e+01	-8.121662e+02
14	1.691571e+01	2.312500e+01	2.322500e-01	-1.727241e-01	-2.043624e-02	2.853524e-02	1.154555e-02	2.613805e-02	2.777139e+03	-4.626538e+02	-1.456513e+00	9.410056e+01	2.614180e+01	-7.693566e+02
15	1.691571e+01	2.329375e+01	2.339375e-01	-1.727241e-01	-2.043624e-02	2.853524e-02	1.154555e-02	2.613805e-02	2.837377e+03	-4.159158e+02	4.029629e+00	9.410056e+01	2.614180e+01	-8.121662e+02
16	1.695737e+01	2.306875e+01	2.316875e-01	-1.761159e-01	-2.507971e-02	3.731650e-02	3.107383e-02	-2.265090e-04	3.316858e+03	5.443145e+01	-4.287903e+01	1.150708e+02	9.010016e+01	-1.403895e+03
17	1.708236e+01	2.323750e+01	2.333750e-01	-1.761159e-01	-2.507971e-02	3.731650e-02	3.107383e-02	-2.265090e-04	3.377096e+03	1.011695e+02	-3.739289e+01	1.150708e+02	9.010016e+01	-1.446704e+03
18	1.708236e+01	2.306875e+01	2.316875e-01	-1.761159e-01	-2.507971e-02	3.731650e-02	3.107383e-02	-2.265090e-04	3.316858e+03	5.443145e+01	-4.287903e+01	1.150708e+02	9.010016e+01	-1.403895e+03
19	1.679071e+01	2.329375e+01	2.339375e-01	-1.866586e-01	-1.741623e-02	2.792078e-02	1.747679e-03	1.212444e-02	2.816764e+03	-5.480052e+02	-7.514173e+00	9.684889e+01	-7.843513e+00	-8.519373e+02
20	1.666572e+01	2.312500e+01	2.322500e-01	-1.866586e-01	-1.741623e-02	2.792078e-02	1.747679e-03	1.212444e-02	2.756526e+03	-5.947432e+02	-1.300031e+01	9.684889e+01	-7.843513e+00	-8.091277e+02
21	1.666572e+01	2.329375e+01	2.339375e-01	-1.866586e-01	-1.741623e-02	2.792078e-02	1.747679e-03	1.212444e-02	2.816764e+03	-5.480052e+02	-7.514173e+00	9.684889e+01	-7.843513e+00	-8.519373e+02
22	1.670738e+01	2.306875e+01	2.316875e-01	-1.781760e-01	-2.043624e-02	2.571491e-02	1.154555e-02	-1.103374e-03	3.297140e+03	1.823206e+01	-7.740066e+00	8.422942e+01	2.755196e+01	-1.378409e+03
23	1.683238e+01	2.323750e+01	2.333750e-01	-1.781760e-01	-2.043624e-02	2.571491e-02	1.154555e-02	-1.103374e-03	3.357378e+03	6.497007e+01	-2.253925e+00	8.422942e+01	2.755196e+01	-1.421218e+03
24	1.683238e+01	2.306875e+01	2.316875e-01	-1.781760e-01	-2.043624e-02	2.571491e-02	1.154555e-02	-1.103374e-03	3.297140e+03	1.823206e+01	-7.740066e+00	8.422942e+01	2.755196e+01	-1.378409e+03
