# Deo cellular solid (MAMS 2023 Fig 4, Tables 1-2), all MPa
# ours = OpenSG msg_shell (RM segments + MSG G); SwiftComp = the paper's MSG solid reference (= OpenSG-solid equivalent)
# ---- theta = +15 deg (Table 1)  solve 1.0 s ----
# term    msg_shell       DeoTW   SwiftComp     ours%    DeoTW%
  C11       4733.84     4736.90     4678.90     +1.17     +1.24
  C12       1086.01     1089.40     1105.50     -1.76     -1.46
  C13        380.63      381.81      386.88     -1.61     -1.31
  C22       2444.24     2446.39     2488.90     -1.79     -1.71
  C23        846.69      847.44      860.89     -1.65     -1.56
  C33        306.74      306.99      311.48     -1.52     -1.44
  C44          4.20        4.32        4.19     +0.18     +3.09
  C55        562.61      564.15      573.11     -1.83     -1.56
  C66        993.78      997.52     1000.10     -0.63     -0.26
# ---- theta = -15 deg (Table 2)  solve 0.2 s ----
# term    msg_shell       DeoTW   SwiftComp     ours%    DeoTW%
  C11       7505.26     7507.40     7352.90     +2.07     +2.10
  C12       1090.52     1094.10     1075.20     +1.42     +1.76
  C13       -219.81     -220.53     -213.94     +2.74     +3.08
  C22       4151.29     4154.90     4080.00     +1.75     +1.84
  C23       -846.69     -847.45     -821.77     +3.03     +3.12
  C33        180.61      180.75      173.48     +4.11     +4.19
  C44          2.47        2.68        2.47     +0.17     +8.38
  C55        331.26      332.17      346.01     -4.26     -4.00
  C66       1687.82     1694.20     1706.40     -1.09     -0.71
