# Deo composite square (MAMS 2023 Fig 13 / Table 4), all MPa;  solve 1.5 s
# ours = OpenSG msg_shell (RM); SwiftComp = the paper's MSG solid reference (= OpenSG-solid equivalent)
# term    msg_shell       DeoTW   SwiftComp     ours%    DeoTW%
  C11      15263.83    16133.90    15518.11     -1.64     +3.97
  C12        936.74     1016.82     1008.76     -7.14     +0.80
  C13        468.37      468.38      459.01     +2.04     +2.04
  C15       1191.85    -1192.81    -1135.27   -204.98     +5.07
  C16       2383.70     2589.74     2535.23     -5.98     +2.15
  C22        906.11      983.56      988.88     -8.37     -0.54
  C23          0.00        0.00       20.44   -100.00   -100.00
  C26        292.25      317.09      311.80     -6.27     +1.70
  C33        453.06      453.06      456.25     -0.70     -0.70
  C35        146.13     -146.06     -140.04   -204.35     +4.30
  C44          0.94        1.08        1.16    -18.57     -6.90
  C55        547.31      547.32      545.43     +0.35     +0.35
  C66       1094.63     1188.20     1188.30     -7.88     -0.01
