## t = 0.036457   aperiodic: 720 free-face nodes clamped, ndof 81216, 42.3 s   periodic: ndof 79056, 66.5 s
#  term      aperiodic      periodic     %diff
   C11         2375.89       2225.31    +6.767
   C22         2375.92       2225.28    +6.770
   C33         2376.22       2225.03    +6.795
   C12         1537.47       1564.87    -1.751
   C13         1539.24       1564.95    -1.643
   C23         1538.99       1564.78    -1.648
   C44         1078.28       1040.98    +3.583
   C55         1078.32       1041.01    +3.585
   C66         1078.61       1040.93    +3.620

## t = 0.129330   aperiodic: 720 free-face nodes clamped, ndof 81216, 42.2 s   periodic: ndof 79056, 65.4 s
#  term      aperiodic      periodic     %diff
   C11         9881.00       8916.81   +10.813
   C22         9881.00       8916.85   +10.813
   C33         9873.34       8916.17   +10.735
   C12         4921.09       5352.21    -8.055
   C13         4931.10       5352.71    -7.877
   C23         4931.00       5352.55    -7.876
   C44         4150.25       3961.63    +4.761
   C55         4150.26       3961.63    +4.761
   C66         4151.27       3961.51    +4.790

## t = 0.036457   aperiodic: 720 free-face nodes clamped, ndof 81216, 11.8 s   periodic: ndof 79056, 12.1 s
#  term      aperiodic      periodic     %diff
   C11         2375.89       2225.31    +6.767
   C22         2375.92       2225.28    +6.770
   C33         2376.22       2225.03    +6.795
   C12         1537.47       1564.87    -1.751
   C13         1539.24       1564.95    -1.643
   C23         1538.99       1564.78    -1.648
   C44         1078.28       1040.98    +3.583
   C55         1078.32       1041.01    +3.585
   C66         1078.61       1040.93    +3.620

