# IEA-22 spanwise Timoshenko beam properties (RM shell ring)
# eta(r/R)                EA               GA2               GA3                GJ               EI2               EI3
    0.000000   6.44275512e+10   7.96306621e+09   8.36135930e+09   1.27413308e+11   2.97295270e+11   2.19213722e+11
    0.020000   6.44308507e+10   7.96308187e+09   8.36159484e+09   1.27416955e+11   2.97299439e+11   2.19223530e+11
    0.040000   4.11805967e+10   4.72564788e+09   4.66403716e+09   6.98036901e+10   1.85293423e+11   1.43791127e+11
    0.060000   3.00658230e+10   2.51499899e+09   2.39822364e+09   3.34268077e+10   1.28511810e+11   1.15857953e+11
    0.080000   2.93819164e+10   1.70216225e+09   1.58556880e+09   1.97528984e+10   1.06392201e+11   1.22638279e+11
    0.100000   2.89212767e+10   1.11237808e+09   1.04545606e+09   1.14245218e+10   8.40070906e+10   1.21502270e+11
    0.120000   2.79168961e+10   7.81393542e+08   7.36302603e+08   6.85812163e+09   6.65512437e+10   1.06734688e+11
    0.140000   2.78108123e+10   7.30351425e+08   5.95481674e+08   4.94910902e+09   5.31881075e+10   9.81148253e+10
    0.160000   2.77553608e+10   7.32908925e+08   5.08998716e+08   3.66882746e+09   4.46224709e+10   8.65447226e+10
    0.180000   2.78147140e+10   7.27298580e+08   4.61237378e+08   2.98755573e+09   3.98536659e+10   7.69581741e+10
    0.200000   2.76605989e+10   7.18613262e+08   4.21744284e+08   2.43756534e+09   3.51438873e+10   6.81297238e+10
    0.220000   2.75823134e+10   7.11181175e+08   4.04506557e+08   2.23182450e+09   3.24982552e+10   6.58995997e+10
    0.240000   2.73527394e+10   7.02620069e+08   3.84040754e+08   2.01217238e+09   2.94727258e+10   6.27884477e+10
    0.260000   2.70908726e+10   6.92743572e+08   3.70031960e+08   1.85301376e+09   2.72524595e+10   5.95383380e+10
    0.280000   2.68009606e+10   6.81660644e+08   3.58194867e+08   1.71995198e+09   2.53983634e+10   5.60733461e+10
    0.300000   2.64700681e+10   6.69557094e+08   3.45425617e+08   1.58387742e+09   2.34690797e+10   5.23222695e+10
    0.320000   2.61230262e+10   6.56437122e+08   3.31739592e+08   1.44793181e+09   2.15318242e+10   4.84173296e+10
    0.340000   2.57858097e+10   6.42924134e+08   3.17458224e+08   1.31502511e+09   1.96488272e+10   4.44763605e+10
    0.360000   2.54156557e+10   6.29007074e+08   3.02991518e+08   1.18701391e+09   1.78073493e+10   4.05881685e+10
    0.380000   2.50064909e+10   6.14887602e+08   2.88548222e+08   1.06588167e+09   1.60307784e+10   3.68100975e+10
    0.400000   2.45477217e+10   6.00750078e+08   2.73899518e+08   9.51953981e+08   1.43274634e+10   3.31912916e+10
    0.420000   2.40241856e+10   5.86665530e+08   2.58699565e+08   8.42465129e+08   1.26616935e+10   2.97406572e+10
    0.440000   2.34650507e+10   5.72845843e+08   2.44002286e+08   7.42317780e+08   1.11198113e+10   2.65181301e+10
    0.460000   2.28650976e+10   5.59424232e+08   2.29633585e+08   6.51296367e+08   9.70536651e+09   2.35313976e+10
    0.480000   2.22280570e+10   5.46553251e+08   2.15615837e+08   5.68813735e+08   8.42084937e+09   2.07845364e+10
    0.500000   2.15596413e+10   5.34263266e+08   2.02128533e+08   4.95011412e+08   7.26524060e+09   1.82791086e+10
    0.520000   2.08645511e+10   5.22741089e+08   1.89764208e+08   4.30660001e+08   6.23523105e+09   1.60113291e+10
    0.540000   2.01458424e+10   5.11950123e+08   1.78593043e+08   3.75382270e+08   5.34995940e+09   1.39779347e+10
    0.560000   1.94093708e+10   5.02245751e+08   1.68914586e+08   3.29777418e+08   4.61452800e+09   1.21766925e+10
    0.580000   1.86438165e+10   4.93250824e+08   1.59438578e+08   2.88976458e+08   3.96292595e+09   1.05626050e+10
    0.600000   1.78798793e+10   4.84908754e+08   1.50212805e+08   2.52990528e+08   3.39250082e+09   9.17687769e+09
    0.620000   1.71150123e+10   4.77053968e+08   1.41562688e+08   2.21339552e+08   2.89586575e+09   7.99980949e+09
    0.640000   1.63443088e+10   4.69217379e+08   1.33373601e+08   1.93525433e+08   2.46408980e+09   6.99429975e+09
    0.660000   1.55474474e+10   4.61807823e+08   1.25412090e+08   1.68868858e+08   2.08933955e+09   6.09656057e+09
    0.680000   1.47265748e+10   4.54234834e+08   1.17654116e+08   1.47137665e+08   1.76501869e+09   5.30196497e+09
    0.700000   1.38781265e+10   4.46687972e+08   1.10195635e+08   1.28038602e+08   1.48455608e+09   4.59784922e+09
    0.720000   1.29959599e+10   4.38347672e+08   1.03194593e+08   1.11284682e+08   1.24231072e+09   3.96323889e+09
    0.740000   1.20920064e+10   4.29294849e+08   9.65230732e+07   9.66188253e+07   1.03460231e+09   3.39756839e+09
    0.760000   1.11659629e+10   4.18562259e+08   9.02326507e+07   8.38971140e+07   8.58390736e+08   2.89568562e+09
    0.780000   1.02265361e+10   4.05737894e+08   8.41860969e+07   7.26759921e+07   7.06773204e+08   2.45588951e+09
    0.800000   9.28038409e+09   3.90243799e+08   7.82870454e+07   6.27349440e+07   5.76401363e+08   2.07536066e+09
    0.820000   8.32771401e+09   3.71492420e+08   7.26619814e+07   5.38696390e+07   4.63951455e+08   1.74679846e+09
    0.840000   7.39240949e+09   3.50049657e+08   6.71966573e+07   4.59271523e+07   3.68073176e+08   1.46350557e+09
    0.860000   6.52346779e+09   3.26947963e+08   6.17185074e+07   3.88303380e+07   2.88624041e+08   1.22036905e+09
    0.880000   5.66063879e+09   3.00725725e+08   5.61714701e+07   3.22980301e+07   2.20421426e+08   1.00567579e+09
    0.900000   4.75954961e+09   2.70017389e+08   5.02515913e+07   2.61025842e+07   1.60725501e+08   8.09844228e+08
    0.920000   3.77726579e+09   2.32227484e+08   4.33031316e+07   1.99737993e+07   1.08227605e+08   6.21847601e+08
    0.940000   2.64020156e+09   1.80834082e+08   3.43479097e+07   1.35795150e+07   6.21667876e+07   4.27156667e+08
    1.000000   2.65581077e+08   1.56743220e+07   1.88135914e+06   5.15174420e+04   3.04364786e+05   1.60428557e+06
