# peak |sigma| per station over the whole section, ply frame [MPa]
# eta(r/R)               s11               s22               s33               s23               s13               s12
    0.000000   1.49271417e+02   1.53636678e+00   4.13972884e-13   5.39458803e-03   4.12768841e-02   2.24186054e+00
    0.020000   1.41106019e+02   1.45232524e+00   3.92552465e-13   5.09877213e-03   3.97793751e-02   2.16601866e+00
    0.040000   2.09889058e+02   2.77923355e+00   5.15952706e-13   4.40685959e-02   8.24744473e-02   4.01718776e+00
    0.060000   2.74946430e+02   3.38017441e+00   6.62170351e-13   1.41732061e-01   6.85616203e-02   6.51562606e+00
    0.080000   2.81139892e+02   4.53429697e+00   6.14090823e-13   1.48306333e-01   5.54093707e-02   9.90425253e+00
    0.100000   2.93116566e+02   5.55801147e+00   1.06170774e-12   1.13957944e-01   5.52614403e-02   1.58243570e+01
    0.120000   3.09115460e+02   5.32587461e+00   6.36471668e-13   6.43959345e-02   4.19077844e-02   7.89085332e+00
    0.140000   3.21929944e+02   5.08151734e+00   6.65197149e-13   5.29503534e-02   3.63384895e-02   7.88266181e+00
    0.160000   3.25793641e+02   4.14543750e+00   8.97794962e-13   3.91335971e-02   3.51941097e-02   7.01052831e+00
    0.180000   3.20918871e+02   3.66656862e+00   1.61770731e-12   2.62231570e-02   3.55777269e-02   6.10247574e+00
    0.200000   3.18177433e+02   3.08795353e+00   9.12696123e-13   1.57149557e-02   3.45770096e-02   5.66031217e+00
    0.220000   3.05212717e+02   2.64874711e+00   1.49803236e-12   1.55855676e-02   4.00853999e-02   5.38027622e+00
    0.240000   2.99480461e+02   2.32654366e+00   1.31828710e-12   1.59631040e-02   3.36406975e-02   5.30516462e+00
    0.260000   2.90901931e+02   2.05903630e+00   1.27172098e-12   1.59946705e-02   4.44101042e-02   5.13118757e+00
    0.280000   2.81068419e+02   1.86217975e+00   1.13993883e-12   1.58889378e-02   4.90779604e-02   5.01676211e+00
    0.300000   2.72407358e+02   1.77032263e+00   1.20885670e-12   1.58930546e-02   5.21126573e-02   4.92297474e+00
    0.320000   2.64522382e+02   1.69956598e+00   1.04820356e-12   1.59828229e-02   3.49819984e-02   4.87665890e+00
    0.340000   2.56965874e+02   1.63950513e+00   1.22701749e-12   1.61296537e-02   3.32400292e-02   4.84643344e+00
    0.360000   2.50160309e+02   1.60637227e+00   9.81613994e-13   1.63923787e-02   5.41699781e-02   2.57500124e+01
    0.380000   2.44017461e+02   1.56513242e+00   9.51811671e-13   1.66928652e-02   5.77969527e-02   2.50524399e+01
    0.400000   2.38520068e+02   1.53455434e+00   1.02678314e-12   1.70868470e-02   6.43384066e-02   2.48478508e+01
    0.420000   2.34187579e+02   1.51055122e+00   1.00210309e-12   1.68497596e-02   3.71864111e-02   2.45449470e+01
    0.440000   2.30525062e+02   1.47523111e+00   1.01886690e-12   1.73682231e-02   4.53621132e-02   2.43977086e+01
    0.460000   2.27153913e+02   1.47358941e+00   8.56816769e-13   1.79519407e-02   6.66026852e-02   5.43020259e+01
    0.480000   2.23997651e+02   1.52706973e+00   8.22357833e-13   1.85706874e-02   7.86122585e-02   5.49679179e+01
    0.500000   2.21052347e+02   1.56427502e+00   6.99888915e-13   1.85142610e-02   5.31953354e-02   5.37611437e+01
    0.520000   2.18030119e+02   1.60492441e+00   8.30739737e-13   1.80996854e-02   4.82999772e-02   5.41179098e+01
    0.540000   2.14382707e+02   1.62953363e+00   8.13510269e-13   1.74810053e-02   8.23774625e-02   5.64234617e+01
    0.560000   2.09312005e+02   1.64731915e+00   6.41215593e-13   1.66592868e-02   8.40577313e-02   5.61967894e+01
    0.580000   2.03976899e+02   1.64680226e+00   5.63450158e-13   1.65082155e-02   8.73254206e-02   5.59119741e+01
    0.600000   1.95599202e+02   3.99256688e+00   8.26548785e-13   1.70532053e-02   7.39796867e-02   5.34867769e+01
    0.620000   1.89468645e+02   3.83735630e+00   5.08502126e-13   1.76492340e-02   7.02223087e-02   5.30334917e+01
    0.640000   1.82898151e+02   3.67207440e+00   6.18398190e-13   1.80964489e-02   6.72715288e-02   5.24184704e+01
    0.660000   1.75845761e+02   3.49600666e+00   5.35976142e-13   1.84713680e-02   9.57152488e-02   5.38125081e+01
    0.680000   1.68305043e+02   3.30908752e+00   7.59027898e-13   1.85478539e-02   9.75565426e-02   5.27688532e+01
    0.700000   1.60356103e+02   3.11305748e+00   6.49597496e-13   1.74587436e-02   6.56977683e-02   4.95638487e+01
    0.720000   1.52057510e+02   2.90864457e+00   3.01282853e-13   1.61018563e-02   5.60862406e-02   4.78858867e+01
    0.740000   1.43127899e+02   2.69169762e+00   3.70666385e-13   1.48098327e-02   9.86200544e-02   4.81660284e+01
    0.760000   1.33359647e+02   2.45876500e+00   2.83587724e-13   1.41217497e-02   1.00113207e-01   4.58173363e+01
    0.780000   1.22835128e+02   2.21250868e+00   2.71247700e-13   1.33892139e-02   1.05047749e-01   4.31109504e+01
    0.800000   1.11316749e+02   1.94984342e+00   1.93947926e-13   1.15167225e-02   5.58043894e-02   3.85749086e+01
    0.820000   9.86058962e+01   1.66933600e+00   1.44587830e-13   9.72174236e-03   5.27231338e-02   3.55619794e+01
    0.840000   8.40473939e+01   1.36549320e+00   1.23865902e-13   7.85204873e-03   9.58178423e-02   3.38393910e+01
    0.860000   6.68270427e+01   1.03552365e+00   7.72997737e-14   6.51523355e-03   7.10168995e-02   2.92633379e+01
    0.880000   4.75538804e+01   6.94642002e-01   4.78466973e-14   4.65501936e-03   7.35531487e-02   2.56556942e+01
    0.900000   2.64238125e+01   3.60279273e-01   3.63215804e-14   2.27093911e-03   7.18277021e-02   2.28072747e+01
    0.920000   4.60081175e+00   5.60984271e-02   5.47152013e-15   2.98531645e-04   1.03338514e-01   1.79443176e+01
    0.940000   1.95526428e+01   2.03735554e-01   3.02679837e-14   1.32342130e-03   6.61843694e-02   1.38782653e+01
    1.000000   4.88165692e-01   2.71026227e-02   2.03726813e-15   4.70632777e-05   5.13380478e-02   7.89278421e+00
