# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
     0  4.677080e+00  1.048036e-01  5.426575e-04 -1.683049e-04  5.685206e-04  1.658453e-03 -6.643570e-04  3.056733e-03  7.149089e+05 -1.202136e+01  7.704729e+04  3.317113e+02 -1.797385e+00  6.060404e+01
     1  4.609967e+00  1.228160e-01  5.023263e-04 -1.557962e-04  6.082074e-04  1.630725e-03 -6.532413e-04 -2.506059e-03  6.618042e+05 -1.203658e+01  8.229252e+04  3.167509e+02 -1.776758e+00 -2.490512e+01
     2  4.538584e+00  1.435331e-01  4.567193e-04 -1.416507e-04  5.889549e-04  1.633283e-03 -6.538384e-04 -1.456759e-03  6.017629e+05 -1.203635e+01  7.970995e+04  3.032823e+02 -1.772811e+00 -9.047080e+00
     3  4.467128e+00  1.640118e-01  4.115172e-04 -1.276308e-04  6.240516e-04  1.634824e-03 -6.539950e-04 -1.653109e-03  5.422544e+05 -1.203612e+01  8.445746e+04  2.898331e+02 -1.765865e+00 -1.128804e+01
     4  4.395603e+00  1.842925e-01  3.666499e-04 -1.137148e-04  6.033777e-04  1.636693e-03 -6.542266e-04 -1.615556e-03  4.831869e+05 -1.203572e+01  8.165912e+04  2.765192e+02 -1.756399e+00 -1.118149e+01
     5  4.324026e+00  2.044449e-01  3.219988e-04 -9.986579e-05  6.368530e-04  1.637059e-03 -6.538597e-04 -1.629784e-03  4.244034e+05 -1.203563e+01  8.619130e+04  2.631177e+02 -1.745272e+00 -1.063037e+01
     6  4.252419e+00  2.245332e-01  2.774550e-04 -8.605010e-05  6.146251e-04  1.637817e-03 -6.536244e-04 -1.617073e-03  3.657614e+05 -1.203543e+01  8.318197e+04  2.497888e+02 -1.733304e+00 -1.094562e+01
     7  4.180787e+00  2.445939e-01  2.329557e-04 -7.224822e-05  6.465211e-04  1.637598e-03 -6.530130e-04 -1.638978e-03  3.071776e+05 -1.203549e+01  8.750012e+04  2.363739e+02 -1.720930e+00 -1.055020e+01
     8  4.109165e+00  2.647419e-01  1.883062e-04 -5.839977e-05  6.227324e-04  1.636414e-03 -6.520581e-04 -1.600680e-03  2.483958e+05 -1.203579e+01  8.428006e+04  2.228150e+02 -1.709602e+00 -1.050392e+01
     9  4.037570e+00  2.849704e-01  1.435203e-04 -4.450897e-05  6.530724e-04  1.636229e-03 -6.514994e-04 -1.719223e-03  1.894346e+05 -1.203583e+01  8.838531e+04  2.093165e+02 -1.699295e+00 -1.164578e+01
    10  3.965991e+00  3.052474e-01  9.865201e-05 -3.059265e-05  6.276043e-04  1.635592e-03 -6.507819e-04 -1.122829e-03  1.303649e+05 -1.203597e+01  8.495073e+04  1.957468e+02 -1.689599e+00 -2.967563e+00
    11  3.892908e+00  3.202446e-01  6.276010e-05 -1.945954e-05  6.554928e-04  1.706609e-03 -6.757903e-04 -2.122535e-03  8.313432e+04 -1.188698e+01  8.870373e+04  1.922068e+02 -1.613830e+00 -1.785588e+01
    12  3.818772e+00  3.297941e-01  3.619655e-05 -1.761076e-05  1.579475e-03  1.707273e-03 -8.469348e-04 -2.018756e-03  6.527560e+03 -1.188342e+01  8.533511e+04  4.023895e+02 -1.471580e+00 -1.596682e+02
